month,change
1-Jul-10,0.23
1-Aug-10,0.22
1-Sep-10,0.17
1-Oct-10,0.18
1-Nov-10,0.17
1-Dec-10,0.2
1-Jan-11,0.24
1-Feb-11,0.22
1-Mar-11,0.26
1-Apr-11,0.25
1-May-11,0.25
1-Jun-11,0.21
1-Jul-11,0.22
1-Aug-11,0.19
1-Sep-11,0.16
1-Oct-11,0.14
1-Nov-11,0.14
1-Dec-11,0.15
1-Jan-12,0.13
1-Feb-12,0.12
1-Mar-12,0.14
1-Apr-12,0.15
1-May-12,0.14
1-Jun-12,0.11
1-Jul-12,0.12
1-Aug-12,0.11
1-Sep-12,0.1
1-Oct-12,0.12
1-Nov-12,0.11
1-Dec-12,0.12
1-Jan-13,0.13
1-Feb-13,0.13
1-Mar-13,0.13
1-Apr-13,0.12
1-May-13,0.12
1-Jun-13,0.14
1-Jul-13,0.18
1-Aug-13,0.18
1-Sep-13,0.19
1-Oct-13,0.19
1-Nov-13,0.18
1-Dec-13,0.19
1-Jan-14,0.21
1-Feb-14,0.18
1-Mar-14,0.19
1-Apr-14,0.2
1-May-14,0.2
1-Jun-14,0.19
