month,LIncome,L2020,L2030,L2040,L2050
Jul-2015,0.55,1.03,1.22,1.33,1.46
Aug-2015,-1.1,-3.06,-4.04,-4.69,-5.37
Sep-2015,-0.51,-1.67,-2.26,-2.67,-3.09
Oct-2015,1.64,3.72,4.88,5.58,6.31
Nov-2015,0.17,0.17,0.2,0.24,0.24
Dec-2015,-0.28,-0.92,-1.32,-1.61,-1.85
Jan-2016,-0.91,-2.55,-3.58,-4.21,-4.86
Feb-2016,0.01,-0.24,-0.41,-0.51,-0.63
Mar-2016,1.53,3.35,4.54,5.25,5.94
Apr-2016,0.34,0.58,0.75,0.85,0.95
May-2016,0.38,0.69,0.91,1.03,1.15
Jun-2016,0.11,-0.12,-0.31,-0.43,-0.58
Jul-2016,1,2.01,2.85,3.31,3.74
Aug-2016,0.13,0.16,0.18,0.2,0.21
Sep-2016,0.2,0.3,0.38,0.43,0.48
Oct-2016,-0.38,-0.91,-1.39,-1.66,-1.89
Nov-2016,0.49,1.05,1.57,1.87,2.19
Dec-2016,0.64,1.13,1.59,1.82,2.04
Jan-2017,0.61,1.04,1.48,1.7,1.91
Feb-2017,0.77,1.36,1.96,2.25,2.51
Mar-2017,0.33,0.48,0.64,0.71,0.78
Apr-2017,0.5,0.76,1.07,1.21,1.34
May-2017,0.55,0.86,1.22,1.38,1.51
Jun-2017,0.26,0.35,0.46,0.52,0.58
Jul-2017,0.6,0.96,1.42,1.63,1.82
Aug-2017,0.22,0.21,0.19,0.17,0.15
Sep-2017,0.6,1.02,1.6,1.87,2.14
Oct-2017,0.54,0.83,1.27,1.46,1.63
Nov-2017,0.62,0.99,1.55,1.8,2.03
Dec-2017,0.41,0.57,0.81,0.92,1
Jan-2018,1.1,1.84,3.12,3.66,4.15
Feb-2018,-0.7,-1.34,-2.48,-2.98,-3.41
Mar-2018,-0.08,-0.33,-0.78,-0.96,-1.11
Apr-2018,0.3,0.36,0.55,0.62,0.69
May-2018,0.5,0.66,0.98,1.13,1.26
Jun-2018,0.19,0.17,0.14,0.13,0.12
Jul-2018,0.79,1.12,1.91,2.21,2.48
Aug-2018,0.61,0.8,1.28,1.47,1.65
Sep-2018,0.21,0.22,0.23,0.22,0.21
Oct-2018,-1.4,-2.24,-4.6,-5.54,-6.35
Nov-2018,0.53,0.65,0.99,1.12,1.22
Dec-2018,-1.31,-2.18,-4.64,-5.61,-6.45
Jan-2019,1.83,2.53,4.92,5.86,6.67
Feb-2019,0.8,1.06,2,2.36,2.68
Mar-2019,0.52,0.61,0.87,0.96,1.02
Apr-2019,0.89,1.16,2.23,2.62,2.96
May-2019,-0.98,-1.42,-3.36,-4.06,-4.67
Jun-2019,1.57,2.04,4.11,4.87,5.52
Jul-2019,0.19,0.21,0.21,0.22,0.22
Aug-2019,-0.12,-0.24,-0.96,-1.22,-1.46
Sep-2019,0.51,0.63,1.28,1.50,1.69
