,month,contribution,GFund,FFund,CFund,g_returns,f_returns,c_returns
343,Aug-2016,1500.0,0.13,-0.11,0.14,1.0013,0.9989,1.0014
344,Sep-2016,1500.0,0.13,-0.04,0.02,1.0013,0.9996,1.0002
345,Oct-2016,1500.0,0.14,-0.74,-1.82,1.0014,0.9926,0.9818
346,Nov-2016,1500.0,0.16,-2.35,3.71,1.0016,0.9765,1.0371
347,Dec-2016,1500.0,0.2,0.16,1.98,1.002,1.0016,1.0198
348,Jan-2017,1500.0,0.2,0.23,1.9,1.002,1.0023,1.019
349,Feb-2017,1500.0,0.18,0.71,3.97,1.0018,1.0071,1.0397
350,Mar-2017,1500.0,0.2,-0.01,0.12,1.002,0.9999,1.0012
351,Apr-2017,1500.0,0.2,0.81,1.03,1.002,1.0081,1.0103
352,May-2017,1500.0,0.19,0.81,1.41,1.0019,1.0081,1.0141
353,Jun-2017,1500.0,0.19,-0.09,0.62,1.0019,0.9991,1.0062
354,Jul-2017,1500.0,0.19,0.43,2.05,1.0019,1.0043,1.0205
355,Aug-2017,1500.0,0.19,0.91,0.3,1.0019,1.0091,1.003
356,Sep-2017,1500.0,0.17,-0.48,2.06,1.0017,0.9952,1.0206
357,Oct-2017,1500.0,0.19,0.07,2.33,1.0019,1.0007,1.0233
358,Nov-2017,1500.0,0.19,-0.11,3.07,1.0019,0.9989,1.0307
359,Dec-2017,1500.0,0.2,0.48,1.11,1.002,1.0048,1.0111
360,Jan-2018,1541.67,0.2,-1.14,5.72,1.002,0.9886,1.0572
361,Feb-2018,1541.67,0.21,-0.96,-3.69,1.0021,0.9904,0.9631
362,Mar-2018,1541.67,0.24,0.65,-2.55,1.0024,1.0065,0.9745
363,Apr-2018,1541.67,0.23,-0.73,0.38,1.0023,0.9927,1.0038
364,May-2018,1541.67,0.24,0.73,2.41,1.0024,1.0073,1.0241
365,Jun-2018,1541.67,0.24,-0.1,0.61,1.0024,0.999,1.0061
366,Jul-2018,1541.67,0.25,0.04,3.72,1.0025,1.0004,1.0372
367,Aug-2018,1541.67,0.26,0.67,3.26,1.0026,1.0067,1.0326
368,Sep-2018,1541.67,0.24,-0.62,0.57,1.0024,0.9938,1.0057
369,Oct-2018,1541.67,0.26,-0.78,-6.84,1.0026,0.9922,0.9316
370,Nov-2018,1541.67,0.26,0.62,2.04,1.0026,1.0062,1.0204
371,Dec-2018,1541.67,0.26,1.84,-9.03,1.0026,1.0184,0.9097
372,Jan-2019,1541.67,0.23,1.07,8.01,1.0023,1.0107,1.0801
373,Feb-2019,1541.67,0.2,-0.06,3.21,1.002,0.9994,1.0321
374,Mar-2019,1541.67,0.23,1.93,1.95,1.0023,1.0193,1.0195
375,Apr-2019,1541.67,0.21,0.02,4.05,1.0021,1.0002,1.0405
376,May-2019,1541.67,0.21,1.77,-6.36,1.0021,1.0177,0.9364
377,Jun-2019,1541.67,0.19,1.26,7.04,1.0019,1.0126,1.0704
378,Jul-2019,1541.67,0.18,0.21,1.44,1.0018,1.0021,1.0144
379,Aug-2019,1541.67,0.18,2.6,-1.59,1.0018,1.026,0.9841
380,Sep-2019,1541.67,0.14,-0.54,1.87,1.0014,0.9946,1.0187
381,Oct-2019,1541.67,0.14,0.28,2.16,1.0014,1.0028,1.0216
382,Nov-2019,1541.67,0.14,-0.05,3.63,1.0014,0.9995,1.0363
383,Dec-2019,1541.67,0.16,-0.08,3.01,1.0016,0.9992,1.0301
384,Jan-2020,1625.0,0.17,1.91,-0.04,1.0017,1.0191,0.9996
385,Feb-2020,1625.0,0.128,1.819,-8.238,1.00128,1.01819,0.91762
386,Mar-2020,1625.0,0.1055,-0.6442,-12.3974,1.001055,0.993558,0.876026
387,Apr-2020,1625.0,0.0701,1.7807,12.812999999999999,1.000701,1.017807,1.12813
388,May-2020,1625.0,0.0609,0.4587,4.7648,1.000609,1.004587,1.047648
389,Jun-2020,1625.0,0.057795000000000006,0.630722,1.985486,1.00057795,1.00630722,1.01985486
