# S Fund index - Dow Jones U.S. Completion TSM Index (DWCPF); top holdings in S Fund as of 31 October 2018
Company,Percent
Tesla,0.90
ServiceNow,0.70 
Worldpay, 0.60
Square, 0.50
T-Mobile US,0.40 
Liberty Global PLC,0.40
Workday,0.40
Las Vegas Sands,0.40
Dell Technologies,0.40 
Palo Alto Networks,0.40


# https://us.spindices.com/indices/equity/dow-jones-us-completion-total-stock-market-index-usd
