Year,FERS,FERS_Roth,CSRS,CSRS_Roth,US,US_Roth,BRS,BRS_Roth
2012,90265,1479,90558,2648,14039,553
2013,107261,3972,105272,6518,16986,2141
2014,115046,5714,114486,9325,18343,3181
2015,115607,7140,117966,11531,18554,3921
2016,122518,9098,126936,14434,20010,5186
2017,138190,11692,142240,17892,22421,6691
2018,139560,12832,147154,19900,24988,8080,5897,5199
